Model,GDT_TS,GDT_HA,Z_GDT_TS,Z_GDT_HA,LLG_Original_deltaLLG,LLG_B_from_rms_deltaLLG,LLG_const_B_deltaLLG,Z_LLG_Original_deltaLLG,Z_LLG_B_from_rms_deltaLLG,Z_LLG_const_B_deltaLLG
R1049TS236_5,70.15,50.0,0.23468160267376376,0.252786113391549,8.79069954063796,10.487581549761705,9.309354465442167,0.03956305715886088,0.026211584897913327,0.04950194625929833
R1049TS253_1,71.64,50.74,0.5299611597521353,0.3863569081056378,5.945528075430573,15.068272503416702,6.390573460477839,-0.035881751480941144,0.11470938402670684,-0.029461702519877106
R1049TS253_2,71.83,50.93,0.5676142576346119,0.4206521121538493,6.214622172807664,15.366571131613474,6.642757157847967,-0.028746240341813705,0.12047243862821595,-0.022639215710109736
R1049TS253_3,71.64,50.74,0.5299611597521353,0.3863569081056378,5.3600940465426685,15.262475187755657,6.335670830374594,-0.051405581528019474,0.11846133112874566,-0.030947018476487755
R1049TS253_4,71.83,51.12,0.5676142576346119,0.4549473162020608,6.7429393598655025,13.853068871050743,7.84812808734031,-0.014736965482243224,0.09123195495634073,0.00997045475272269
R1049TS253_5,71.64,50.74,0.5299611597521353,0.3863569081056378,5.816804464590476,15.41786051780767,6.393657942437217,-0.039295088183496474,0.12146333669201817,-0.029378256057229924
R1049TS270_1,71.27,50.94,0.4566367059809949,0.4224571228932285,9.454419183712687,0.0,3.946063990863049,0.057162770242796444,-0.17640585747660142,-0.0955945802067352
R1049TS270_2,69.59,49.26,0.1237040510201468,0.1192153186774602,0.06344379694799152,0.0,1.752906032990806,-0.19185573344302984,-0.17640585747660142,-0.15492748473370363
R1049TS270_3,70.71,49.81,0.3456591543273779,0.2184909093433375,2.537825058249453,0.0,3.001640658400076,-0.12624309004222392,-0.17640585747660142,-0.1211446684787315
R1049TS270_4,70.9,49.81,0.3833122522098573,0.2184909093433375,16.076582354443037,0.0,5.809599595382762,0.23276126731294727,-0.17640585747660142,-0.045179159963659656
R1049TS270_5,70.9,49.81,0.3833122522098573,0.2184909093433375,16.076582354443037,0.0,5.809599595382762,0.23276126731294727,-0.17640585747660142,-0.045179159963659656
R1049TS291_1,58.77,37.31,0.0,0.0,1.7194294564583998,0.27847949395984983,2.389865925381029,-0.14794431273611913,-0.17102570357246555,-0.13769540149635995
R1049TS291_2,60.45,39.55,0.0,0.0,1.2187327341385554,2.3553634994514443,1.7637609114827608,-0.16122118158705967,-0.1309008260394936,-0.15463382076531357
R1049TS291_3,61.01,39.55,0.0,0.0,0.0,1.3433562174523406,0.0,-0.19353805915824812,-0.15045255263824428,-0.20234997244229255
R1049TS291_4,63.06,41.05,0.0,0.0,0.0,5.552705600117436,0.46545602940031294,-0.19353805915824812,-0.06912897942648476,-0.18975769286900368
R1049TS291_5,70.34,49.81,0.2723347005562404,0.2184909093433375,12.03169950430727,18.029310823329098,12.608367647555584,0.1255039661869266,0.1719159009254681,0.1387522592451667
R1049TS294_1,70.9,50.74,0.3833122522098573,0.3863569081056378,12.872696078659445,13.809119069330366,13.432502027295497,0.14780449407940074,0.09038285582178839,0.1610480935670779
R1049TS294_2,70.9,50.93,0.3833122522098573,0.4206521121538493,9.778604487736246,10.673266470199481,10.345809905115031,0.06575912323065078,0.029798970939976785,0.0775418379724466
R1049TS294_3,71.08,50.56,0.4189836080985183,0.35386671479680554,10.842781392799754,11.758396386125272,11.326761903154052,0.09397767664411298,0.05076340846694425,0.10408015959049151
R1049TS294_4,70.71,50.56,0.3456591543273779,0.35386671479680554,10.610513784521192,11.809757972463588,11.1737052413483,0.08781868571014363,0.05175570141940325,0.0999394198551066
R1049TS294_5,70.71,50.75,0.3456591543273779,0.38816191884501705,11.849360148626673,12.920473551539574,12.01532399929246,0.12066891214359332,0.0732144475345186,0.12270827023998869
R1049TS323_1,77.42,58.58,1.675408032176963,1.8014853277792229,37.0556657289331,50.21266565361113,37.30612784071317,0.7890591741287273,0.7936902358188542,0.8069165573572239
R1049TS323_2,77.05,58.21,1.6020835784058232,1.7346999304221788,37.48479300294146,48.681165309884854,37.646923793661784,0.8004382510896727,0.7641020336991234,0.8161363281753254
R1049TS323_3,78.55,60.08,1.89934487747801,2.0722369386861588,30.896768922135905,45.908222169477106,31.18168948424328,0.6257450130304495,0.7105294684424425,0.6412282105687984
R1049TS323_4,75.93,56.91,1.3801284750985918,1.5000485343028336,33.57978750829405,43.553955092676944,34.066869853590184,0.6968900481487385,0.6650456196156732,0.7192828398685616
R1049TS323_5,71.27,50.93,0.4566367059809949,0.4206521121538493,9.29236094596179,17.753703544462077,9.529030636371404,0.05286550630453013,0.166591237495785,0.05544498617113384
R1049TS335_1,74.44,55.41,1.0848489180202174,1.2292969233958977,17.997743677432098,29.821885606641473,18.741105278844856,0.28370429487790766,0.3997454849213362,0.3046651316217898
R1049TS335_2,75.93,57.46,1.3801284750985918,1.599324124968711,17.017893287544737,19.843148761434385,17.449429680131374,0.2577218097923211,0.20695879448076135,0.26972060575980616
R1049TS335_3,73.51,54.1,0.9005469125954628,0.9928405165371744,17.130512062593493,16.278330591672805,17.767943323933736,0.260708097978008,0.13808740247678672,0.278337559021393
R1049TS335_4,76.12,57.09,1.4177815729810683,1.5325387276116669,14.25715338304197,23.9523532137446,14.433105614593016,0.18451585495040626,0.2863475927819276,0.18811806219444668
R1049TS335_5,73.13,53.36,0.8252407168305068,0.8592697218230856,14.705534279932706,19.134422916673472,15.007985864476803,0.19640547614805123,0.19326638910314248,0.20367066516969548
R1049TS340_1,54.29,32.65,0.0,0.0,2.7299002183322774,0.0,3.639155464532532,-0.12114987373729667,-0.17640585747660142,-0.10389757280511051
R1049TS341_1,71.08,50.94,0.4189836080985183,0.4224571228932285,9.859397553959372,0.0,11.611130739458615,0.06790149584163939,-0.17640585747660142,0.1117733715428458
R1049TS341_2,50.75,30.6,0.0,0.0,0.0,0.1474711229421093,0.0,-0.19353805915824812,-0.1735567524076347,-0.20234997244229255
